0          EXTRATO C/C    92702067007280                                    041BERGS          10120201600BPI                                                                                 04041000001
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010023021209000000000000025395D                             7390                                                   04041000088
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010024021209000000000000015780D                             7390                                                   04041000089
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010025021209000000000000003400D                             7390                                                   04041000090
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010026021209000000000000013000D                             7390                                                   04041000091
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010027021209000000000000019000D                             7390                                                   04041000092
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010028021209000000000000009030D                             7390                                                   04041000093
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010029021209000000000000045040D                             7390                                                   04041000094
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010030021209000000000000014500D                             7390                                                   04041000095
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010031021209000000000000010000D                             7390                                                   04041000096
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010032021209000000000000006990D                             7390                                                   04041000097
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010033021209000000000000005600D                             7390                                                   04041000098
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010034021209000000000000013000D                             7390                                                   04041000099
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010035021209000000000000009284D                             7390                                                   04041000100
102966621680009990009       400060091230011010475CH.COMPENSADO            538519021209000000000005950493D                             6076                                                   04041000101
102966621680009990009       400060091230011040441TAR.SPB-CH.COMPE         538516021209000000000000007200D                             5029                                                   04041000102
102966621680009990009       40006009123002                                      091202000000000010646427CF000000000000705894C000000000000035000C000000000011387321C                          04041000103
90000100010200000000151761230000000021053621                                                                                                                                                 04041000104
